institute_id,logo,institute_name,credits,delivery,duration,id,modality,name,mnqf.id,mnqf.level,mnqf.title
45,NA,ALTAN INSITUTE (previously known as INFO COM COMPUTER TRAINING),NA,NA,NA,148,NA,CERTIFICATE I IN COMPUTER APPLICATION,1,1,CERTIFICATE I
45,NA,ALTAN INSITUTE (previously known as INFO COM COMPUTER TRAINING),NA,NA,NA,149,NA,CERTIFICATE I IN INFORMATION TECHNOLOGY,1,1,CERTIFICATE I
45,NA,ALTAN INSITUTE (previously known as INFO COM COMPUTER TRAINING),NA,NA,NA,311,NA,CERTIFICATE II IN COMPUTER APPLICATION,2,2,CERTIFICATE II
45,NA,ALTAN INSITUTE (previously known as INFO COM COMPUTER TRAINING),NA,NA,NA,312,NA,CERTIFICATE II IN INFORMATION TECHNOLOGY,2,2,CERTIFICATE II
45,NA,ALTAN INSITUTE (previously known as INFO COM COMPUTER TRAINING),NA,NA,6 MONTHS,570,NA,ICCT CERTIFIED DESKTOP AND WEB ENGINEER,3,3,CERTIFICATE III
45,NA,ALTAN INSITUTE (previously known as INFO COM COMPUTER TRAINING),NA,NA,6 MONTHS,571,NA,CERTIFICATE III IN INFORMATION TECHNOLOGY,3,3,CERTIFICATE III
45,NA,ALTAN INSITUTE (previously known as INFO COM COMPUTER TRAINING),120,Full-Time,1 YEAR,834,FACE-TO-FACE,CERTIFICATE IV IN INFORMATION TECHNOLOGY,4,4,CERTIFICATE IV
90,NA,ARIZE INSTITUTE,40,Full-Time,15 WEEKS,644,FACE TO FACE,CERTIFICATE III IN MASS COMMUNICATION,3,3,CERTIFICATE III
90,NA,ARIZE INSTITUTE,40,Full-Time,15 WEEKS,647,FACE-TO-FACE,CERTIFICATE III IN MANAGEMENT,3,3,CERTIFICATE III
13,NA,AVID COLLEGE,10,Full-Time,1 MONTH,11,FACE-TO-FACE,CERTIFICATE I IN MARKETING,1,1,CERTIFICATE I
13,NA,AVID COLLEGE,10,Full-Time,1 MONTH,12,FACE-TO-FACE,CERTIFICATE I IN LEADERSHIP AND OFFICE MANAGEMENT,1,1,CERTIFICATE I
13,NA,AVID COLLEGE,10,Full-Time,1 MONTH,13,FACE-TO-FACE,CERTIFICATE I IN ORGANISATIONAL BEHAVIOUR,1,1,CERTIFICATE I
13,NA,AVID COLLEGE,10,Full-Time,1 MONTH,14,FACE-TO-FACE,CERTIFICATE I IN MANAGEMENT,1,1,CERTIFICATE I
13,NA,AVID COLLEGE,30,Full-Time,6 MONTHS,217,FACE-TO-FACE,CERTIFICATE II IN HUMAN RESOURCE MANAGEMENT,2,2,CERTIFICATE II
13,NA,AVID COLLEGE,30,Full-Time,6 MONTHS,218,FACE-TO-FACE,CERTIFICATE II IN MARKETING,2,2,CERTIFICATE II
13,NA,AVID COLLEGE,40,Full-Time,6 MONTHS,378,FACE-TO-FACE,CERTIFICATE III IN MANAGEMENT,3,3,CERTIFICATE III
13,NA,AVID COLLEGE,40,Full-Time,6 MONTHS,379,FACE-TO-FACE,CERTIFICATE III IN WAITER TRAINING,3,3,CERTIFICATE III
13,NA,AVID COLLEGE,40,Full-Time,6 MONTHS,380,FACE-TO-FACE,CERTIFICATE III IN HUMAN RESOURCE MANAGEMENT,3,3,CERTIFICATE III
13,NA,AVID COLLEGE,40,Full-Time,6 MONTHS,381,FACE-TO-FACE,CERTIFICATE III IN EARLY CHILDHOOD EDUCATION,3,3,CERTIFICATE III
13,NA,AVID COLLEGE,120,NA,48 WEEKS,745,FULL-TIME,ADVANCED CERTIFICATE IN BUSINESS ADMINISTRATION,4,4,CERTIFICATE IV
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,746,FACE-TO-FACE,CERTIFICATE IV IN BUSINESS ADMINISTRATION,4,4,CERTIFICATE IV
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,747,FACE-TO-FACE,CERTIFICATE IV IN FOUNDATION STUDIES,4,4,CERTIFICATE IV
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,942,FACE-TO-FACE,DIPLOMA IN BUSINESS ADMINISTRATION,5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,943,FACE-TO-FACE,DIPLOMA IN EARLY CHILDHOOD EDUCATION,5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,944,FACE-TO-FACE,DIPLOMA IN COUNSELLING,5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,945,FACE-TO-FACE,DIPLOMA IN HUMAN RESOURCE MANAGEMENT,5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,946,FACE-TO-FACE,DIPLOMA IN TEACHING - PRIMARY (NAME CHANGED ON 21.11.2017) - PREVIOUSLY KNOWN AS DIPLOMA IN TEACHING (PRIMARY AND MIDDLE SCHOOL) approved on 17.09.2013),5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,947,FACE-TO-FACE,DIPLOMA IN EDUCATIONAL MANAGEMENT,5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,948,FACE-TO-FACE,DIPLOMA IN PROJECT MANAGEMENT,5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,949,FACE-TO-FACE,DIPLOMA IN INFORMATION TECHNOLOGY (SOFTWARE ENGINEERING),5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,1153,FACE TO FACE,DIPLOMA IN OFFICE MANAGEMENT,5,5,DIPLOMA
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,1245,FACE-TO-FACE,ADVANCED CERTIFICATE IN EARLY CHILDHOOD EDUCATION (28.01.2014) (Previously known as CERTIFICATE IV IN EARLY CHILDHOOD EDUCATION approved on 05.03.2012),10,4,ADVANCED CERTIFICATE
13,NA,AVID COLLEGE,360,Full-Time,3 YEARS,1341,FACE-TO-FACE,BACHELOR OF EARLY CHILDHOOD EDUCATION,7,7,BACHELOR'S DEGREE
13,NA,AVID COLLEGE,360,Full-Time,3 YEARS,1342,FACE TO FACE,BACHELOR OF BUSINESS ADMINISTRATION,7,7,BACHELOR'S DEGREE
13,NA,AVID COLLEGE,360,Full-Time,3 YEARS,1343,FACE TO FACE,BACHELOR OF TEACHING - PRIMARY (NAME CHANGED ON 21.11.2017) PREVIOUSLY KNOWN NAMES - BACHELOR OF TEACHING (PRIMARY AND MIDDLE SCHOOL) & BACHELOR OF PRIMARY AND MIDDLE SCHOOL TEACHING approved on 10.01.2016),7,7,BACHELOR'S DEGREE
13,NA,AVID COLLEGE,360,Full-Time,3 YEARS,1344,FACE-TO-FACE,BACHELOR OF PROJECT MANAGEMENT,7,7,BACHELOR'S DEGREE
13,NA,AVID COLLEGE,360,Full-Time,3 YEARS,1345,FACE-TO-FACE,BACHELOR OF HUMAN RESOURCE MANAGEMENT,7,7,BACHELOR'S DEGREE
13,NA,AVID COLLEGE,360,Full-Time,3 YEARS,1346,FACE-TO-FACE,BACHELOR OF INFORMATION TECHNOLOGY (SOFTWARE ENGINEERING),7,7,BACHELOR'S DEGREE
13,NA,AVID COLLEGE,360,Full-Time,3 years,1412,Face-To-Face,BACHELOR OF OCCUPATIONAL SAFETY AND HEALTH (AWARDING BODY - CYBERJAYA UNIVERSITY COLLEGE),7,7,BACHELOR'S DEGREE
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,1481,FACE TO FACE,POST GRADUATE DIPLOMA IN LEADERSHIP AND MANAGEMENT,9,8,POSTGRADUATE DIPLOMA
13,NA,AVID COLLEGE,240,Full-Time,1 YEAR,1495,FACE-TO-FACE,ASSOCIATE DEGREE IN EARLY CHILDHOOD EDUCATION,11,6,ASSOCIATE DEGREE
13,NA,AVID COLLEGE,240,Full-Time,30 WEEKS,1496,FACE-TO-FACE,ASSOCIATE DEGREE IN COUNSELLING,11,6,ASSOCIATE DEGREE
13,NA,AVID COLLEGE,240,Full-Time,2 YEARS,1497,FACE-TO-FACE,ASSOCIATE DEGREE IN TEACHING - PRIMARY (NAME CHANGED ON 21.11.2017) - PREVIOUSLY KNOWN AS ASSOCIATE DEGREE IN TEACHING (PRIMARY AND MIDDLE SCHOOL) approved on 18.09.2013),11,6,ASSOCIATE DEGREE
13,NA,AVID COLLEGE,240,Full-Time,2 YEARS,1498,FACE-TO-FACE,ASSOCIATE DEGREE IN BUSINESS ADMINISTRATION,11,6,ASSOCIATE DEGREE
13,NA,AVID COLLEGE,240,Full-Time,2 YEARS,1499,FACE-TO-FACE,ASSOCIATE DEGREE IN PROJECT MANAGEMENT,11,6,ASSOCIATE DEGREE
13,NA,AVID COLLEGE,240,Full-Time,2 YEARS,1500,FACE-TO-FACE,ASSOCIATE DEGREE IN HUMAN RESOURCE MANAGEMENT,11,6,ASSOCIATE DEGREE
13,NA,AVID COLLEGE,240,Full-Time,2 YEARS,1501,FACE-TO-FACE,ASSOCIATE DEGREE IN INFORMATION TECHNOLOGY (SOFTWARE ENGINEERING),11,6,ASSOCIATE DEGREE
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR / 1 YEAR 4 MONTHS,1600,FACE-TO-FACE,MASTER OF EDUCATIONAL LEADERSHIP AND MANAGEMENT,16,9,MASTER'S DEGREE
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,1601,FACE-TO-FACE,MASTER OF BUSINESS ADMINISTRATION (STRATEGIC MANAGEMENT),16,9,MASTER'S DEGREE
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,1602,FACE-TO-FACE,MASTER OF PROJECT MANAGEMENT,16,9,MASTER'S DEGREE
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR / 1 YEAR 4 MONTHS,1621,FACE TO FACE,MASTER OF TEACHING - PRIMARY,16,9,MASTER'S DEGREE
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR / 1 YEAR 4 MONTHS,1622,FACE TO FACE,MASTER OF TEACHING - SECONDARY,16,9,MASTER'S DEGREE
13,NA,AVID COLLEGE,120,Full-Time,1 YEAR,1626,FACE TO FACE,MASTER OF HUMAN RESOURCE MANAGEMENT,16,9,MASTER'S DEGREE
13,NA,AVID COLLEGE,120,FULL TIME ,1 YEAR,1786,FACE TO FACE,MASTER OF EDUCATION,16,9,MASTER'S DEGREE
77,NA,AZUM TRAINING CONSULTANCY,NA,NA,6 WEEKS,187,NA,CORE COURSE FOR FITNESS PROFESSIONALS,1,1,CERTIFICATE I
77,NA,AZUM TRAINING CONSULTANCY,NA,NA,6 WEEKS,188,NA,AEROBICS AND GROUP FITNESS COURSE,1,1,CERTIFICATE I
76,NA,BADHAHI LEARNING CENTRE,NA,NA,5 WEEKS,186,NA,CERTIFICATE 1 IN BASIC COMPUTING AND DHIVEHI TEXT PRODUCTION,1,1,CERTIFICATE I
76,NA,BADHAHI LEARNING CENTRE,NA,NA,25 WEEKS ,332,NA,CERTIFICATE 2 IN ENGLISH LANGUAGE,2,2,CERTIFICATE II
33,/static/uploads/CTC_Vector_2018-06-30T18-08-29.png,CARE TRAINING CENTRE,NA,NA,NA,294,NA,CERTIFICATE II IN DISABILITY MANAGEMENT,2,2,CERTIFICATE II
33,/static/uploads/CTC_Vector_2018-06-30T18-08-29.png,CARE TRAINING CENTRE,NA,NA,5 MONTHS,554,NA,DISABILITY MANAGEMENT TRAINING,3,3,CERTIFICATE III
33,/static/uploads/CTC_Vector_2018-06-30T18-08-29.png,CARE TRAINING CENTRE,NA,NA,NA,821,NA,ADVANCED COURSE IN SPECIAL EDUCATION,4,4,CERTIFICATE IV
33,/static/uploads/CTC_Vector_2018-06-30T18-08-29.png,CARE TRAINING CENTRE,124,Full-Time,1 Year,1127,Face-to-Face,Diploma in Classroom Management: Intervention,5,5,DIPLOMA
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,3 WEEKS,79,NA,TRAIN THE TRAINER,1,1,CERTIFICATE I
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,NA,261,NA,CERTIFICATE II IN CUSTOMS STUDIES,2,2,CERTIFICATE II
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,4 MONTHS,262,NA,CUSTOMS STUDIES COURSE,2,2,CERTIFICATE II
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,NA,522,NA,CERTIFICATE III IN HARMONIZED COMMODITY DESCRIPTION AND CODING SYSTEM,3,3,CERTIFICATE III
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,NA,523,NA,CUSTOMS BROKERS COURSE,3,3,CERTIFICATE III
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,4 WEEKS,524,NA,CERTIFICATE III IN HARMONIZED COMMODITY DESCRIPTION AND CODING SYSTEM,3,3,CERTIFICATE III
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,16 WEEKS,525,NA,CERTIFICATE 3 IN PASSENGER PROCESSING AND BORDER ENFORCEMENT,3,3,CERTIFICATE III
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,20 WEEKS,526,NA,CUSTOMS BROKERS TRAINING COURSE,3,3,CERTIFICATE III
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,NA,809,NA,ADVANCED CERTIFICATE IN CUSTOMS MANAGEMENT,4,4,CERTIFICATE IV
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,NA,1071,NA,DIPLOMA IN CUSTOMS MANAGEMENT,5,5,DIPLOMA
26,NA,CENTRE FOR CUSTOMS AND EXERCISE STUDIES,NA,NA,2 YEARS,1072,NA,DIPLOMA IN CUSTOMS MANAGEMENT,5,5,DIPLOMA
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,NA,113,NA,BASIC COMPUTER APPLICATION,1,1,CERTIFICATE I
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,3 WEEKS,114,NA,CERTIFICATE I IN COMPUTER APPLICATION,1,1,CERTIFICATE I
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,NA,295,NA,CERTIFICATE II IN OFFICE PACKAGE,2,2,CERTIFICATE II
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,NA,296,NA,CERTIFICATE II IN OFFICE PACKAGE,2,2,CERTIFICATE II
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,NA,555,NA,CERTIFICATE III IN OFFICE MANAGEMENT,3,3,CERTIFICATE III
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,5 MONTHS,556,NA,CERTIFICATE III IN INFORMATION TECHNOLOGY,3,3,CERTIFICATE III
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,NA,822,NA,CERTIFICATE IV IN INFORMATION TECHNOLOGY,4,4,CERTIFICATE IV
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,NA,823,NA,CERTIFICATE IV IN INFORMATION TECHNOLOGY,4,4,CERTIFICATE IV
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,NA,1076,NA,DIPLOMA IN INFORMATION TECHNOLOGY,5,5,DIPLOMA
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,1 YEAR,1077,NA,DIPLOMA IN INFORMATION TECHNOLOGY,5,5,DIPLOMA
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,120,Full-Time,1 YEAR,1285,FACE TO FACE,ADVANCED CERTIFICATE IN BUSINESS MANAGEMENT ,10,4,ADVANCED CERTIFICATE
34,/static/uploads/CITM_Final_Logo_2018-06-30T18-09-07.png,CENTRE FOR INFORMATION TECHNOLOGY MANAGEMENT,NA,NA,1 YEAR,1533,NA,ASSOCIATE DEGREE IN INFORMATION TECHNOLOGY,11,6,ASSOCIATE DEGREE
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,NA,76,NA,LEVEL 1 FOR IMAAM ,1,1,CERTIFICATE I
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,8 WEEKS,77,NA,CERTIFICATE I IN QAAREE,1,1,CERTIFICATE I
24,NA,CENTRE FOR THE HOLY QURAN,24,Full-Time,8 WEEKS,78,FACE-TO-FACE,QIRATH CERTIFICATE 1 (Previously known as QAAREE COURSE (CERTIFICATE LEVEL 1,1,1,CERTIFICATE I
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,NA,258,NA,LEVEL 2 FOR IMAAM ,2,2,CERTIFICATE II
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,18 WEEKS,259,NA,CERTIFICATE II IN QAAREE ,2,2,CERTIFICATE II
24,NA,CENTRE FOR THE HOLY QURAN,54,Full-Time,15 WEEKS,260,FACE-TO-FACE,QIRATH CERTIFICATE II (Previously known as QAAREE COURSE (CERTIFICATE LEVEL 2),2,2,CERTIFICATE II
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,NA,518,NA,QAAREE COURSE,3,3,CERTIFICATE III
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,NA,519,NA,LEVEL III FOR IMAAM,3,3,CERTIFICATE III
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,30 WEEKS,520,NA,CERTIFICATE III IN QAAREE,3,3,CERTIFICATE III
24,NA,CENTRE FOR THE HOLY QURAN,126,Full-Time,30 WEEKS,521,FACE-TO-FACE,QIRATH CERTIFICATE III (Previously known as QAAREE COURSE (CERTIFICATE LEVEL 3),3,3,CERTIFICATE III
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,NA,803,NA,QAAREE COURSE,4,4,CERTIFICATE IV
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,NA,804,NA,QURAN MUDHARISKAMUGE ADVANCE CERTIFICATE COURSE,4,4,CERTIFICATE IV
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,30 WEEKS,805,NA,CERTIFICATE  4 IN TEACHING QURAN,4,4,CERTIFICATE IV
24,NA,CENTRE FOR THE HOLY QURAN,148.5,FULL TIME ,2 YEARS,806,FACE TO FACE,QARI KAMUGE ADVANCED CERTIFICATE (Name changed from CERTIFICATE IV IN QAAREE on 05.11.2018),10,4,ADVANCED CERTIFICATE
24,NA,CENTRE FOR THE HOLY QURAN,149,Full-Time,30 WEEKS,807,FACE-TO-FACE,QAAREE COURSE (CERTIFICATE LEVEL 4),4,4,CERTIFICATE IV
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,NA,1068,NA,QURAN MUDHARISKAMUGE DIPLOMA COURSE,5,5,DIPLOMA
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,60 WEEKS,1069,NA,DIPLOMA IN TEACHING QURAN,5,5,DIPLOMA
24,NA,CENTRE FOR THE HOLY QURAN,NA,NA,30 WEEKS,1070,NA,DIPLOMA IN TEACHING QURAN,5,5,DIPLOMA
24,NA,CENTRE FOR THE HOLY QURAN,553,Full-Time,4 YEARS,1475,FACE-TO-FACE / DISTANCE/ONLINE,QURAN MUDHARRIS KAMUGE DEGREE COURSE (HONOURS),8,7,BACHELOR'S DEGREE WITH HONOURS
24,NA,CENTRE FOR THE HOLY QURAN,121.5,FULL TIME ,1 YEAR,1723,FACE TO FACE,IMAAMKAMUGE DIPLOMA ,5,5,DIPLOMA
24,NA,CENTRE FOR THE HOLY QURAN,144,FULL TIME ,2 YEARS,1728,FACE TO FACE,ARABI BAHUGE DIPLOMA (Name changed from DIPLOMA IN ARABIC LANGUAGE on 05.11.2018),5,5,DIPLOMA
24,NA,CENTRE FOR THE HOLY QURAN,238.5,FULL TIME ,2 YEARS,1729,FACE TO FACE,IMAAMU KAMUGE DIPLOMA COURSE,5,5,DIPLOMA
24,NA,CENTRE FOR THE HOLY QURAN,360,FULL TIME ,3 YEARS,1730,FACE TO FACE,QURAN MUDHARRISKAMUGE DEGREE,7,7,BACHELOR'S DEGREE
24,NA,CENTRE FOR THE HOLY QURAN,121.5,FULL TIME ,1 YEAR,1731,FACE TO FACE,IMAAM KAMUGE DIPLOMA ,5,5,DIPLOMA
24,NA,CENTRE FOR THE HOLY QURAN,121.5,FULL TIME ,1 YEAR,1732,FACE TO FACE,IMAAM KAMUGE ADVANCED CERTIFICATE ,10,4,ADVANCED CERTIFICATE
30,NA,CIVIL SERVICE TRAINING INSTITUTE,NA,FULL TIME ,15 WEEKS,547,FACE TO FACE,CERTIFICATE 3 IN ACCOUNTING AND FINANCIAL ADMINISTRATION,3,3,CERTIFICATE III
30,NA,CIVIL SERVICE TRAINING INSTITUTE,NA,NA,NA,548,NA,CERTIFICATE 3 IN OFFICE ADMINISTRATION,3,3,CERTIFICATE III
30,NA,CIVIL SERVICE TRAINING INSTITUTE,NA,NA,15 WEEKS,549,NA,CERTIFICATE 3 IN PROJECT MANAGEMENT,3,3,CERTIFICATE III
30,NA,CIVIL SERVICE TRAINING INSTITUTE,53,NA,15 WEEKS,550,FACE TO FACE,CERTIFICATE III IN ICT FOR OFFICE ADMINISTRATION,3,3,CERTIFICATE III
30,NA,CIVIL SERVICE TRAINING INSTITUTE,NA,NA,1 YEAR,1075,NA,DIPLOMA IN PUBLIC ADMINISTRATION AND MANAGEMENT,5,5,DIPLOMA
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,NA,NA,NA,15,NA,CERTIFICATE I IN CUSTOMER SERVICES,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,NA,NA,NA,16,NA,CERTIFICATE I IN KEY CONCEPTS IN PERSONNEL MANAGEMENT,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,NA,NA,NA,17,NA,CERTIFICATE I IN OFFICE ADMINISTRATION,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,NA,NA,NA,18,NA,CERTIFICATE I IN OFFICE COMPUTING,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,NA,NA,3 WEEKS,19,NA,CERTIFICATE I IN OFFICE COMPUTING,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,NA,NA,3 WEEKS,20,NA,CERTIFICATE I IN CUSTOMER SERVICE,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,NA,NA,3 WEEKS,21,NA,CERTIFICATE I IN OFFICE ADMINISTRATION,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,10,Part-Time,1 MONTH,22,FACE TO FACE,CERTIFICATE I IN SUPPLY CHAIN MANAGEMENT,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,10,Full-Time,3 WEEKS,205,FACE TO FACE,CERTIFICATE I IN AUTOCAD,1,1,CERTIFICATE I
14,/static/uploads/logo_clique_2018-06-30T18-09-34.png,CLIQUE COLLEGE,NA,NA,NA,219,NA,CERTIFICATE II IN OFFICE COMPUTING,2,2,CERTIFICATE II
